,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size
374,The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96.0,80
375,The Fosters,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,73.0,80
376,Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,79.0,80
377,The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74.0,80
378,The 100,NR,This movie has not been rated.,124,2016,97.0,80
379,Witches of East End,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,,82
380,Bitten,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,56.0,80
381,London Has Fallen,R,strong violence and language throughout,100,2016,96.0,80
382,Marvel's Jessica Jones,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,83.0,80
383,Bloodline,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
384,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90.0,80
385,Velvet,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
386,How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
387,The Crown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.0,80
388,Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91.0,80
389,Kurt Seyit & Sura,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,,82
390,The Returned,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82
391,The Girl in the Book,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,,82
392,Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88.0,80
393,Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68.0,80
394,Ingobernable,TV-MA,,110,2017,96.0,80
395,Girlboss,TV-MA,,110,2017,94.0,80
396,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99.0,80
397,MerlÃ­,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,,82
398,Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,80
399,100 Metros,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
400,Bones,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97.0,80
401,Dexter,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,95.0,80
402,Leverage,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,86.0,80
403,Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80
404,Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,89.0,80
405,Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98.0,80
406,NCIS,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97.0,80
407,Burn Notice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,85.0,80
408,Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97.0,80
409,Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80
410,White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80
411,Luther,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,69.0,80
412,Hawaii Five-0,TV-14,"dialogue, language, sexual situations and violence",90,2016,96.0,80
413,House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80
414,Last Man Standing,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,97.0,80
415,Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,84.0,80
416,Person of Interest,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,93.0,80
417,Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80
418,Touch,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,68.0,80
419,Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
420,Breakout Kings,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80
421,The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92.0,80
422,Arrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,96.0,80
423,The Following,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82
424,"Drugs, Inc.",TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82
425,Longmire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80
426,Ripper Street,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
427,The Fall,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,61.0,80
428,Death in Paradise,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77.0,80
429,Marvel's Agents of S.H.I.E.L.D.,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,89.0,80
430,Crossing Lines,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,66.0,80
431,London Has Fallen,R,strong violence and language throughout,100,2016,96.0,80
432,Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
433,Marvel's Iron Fist,TV-MA,,110,2017,98.0,80
434,The Honorable Woman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,,82
435,Transporter: The Series,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,,82
436,Gotham,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,85.0,80
437,Better Call Saul,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95.0,80
438,How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
439,Narcos,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,94.0,80
440,American Odyssey,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82
441,Aquarius,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,,82
442,Hap and Leonard,TV-MA,,110,2016,57.0,80
443,Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81.0,80
444,Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88.0,80
445,Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.0,80
446,Travelers,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,86.0,80
447,The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57.0,80
448,I.T,NR,,124,2016,,82
449,Bordertown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
450,The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97.0,80
451,Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80
452,Law & Order: Special Victims Unit,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,97.0,80
453,Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,89.0,80
454,Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98.0,80
455,90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,62.0,80
456,Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96.0,80
457,How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94.0,80
458,Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94.0,80
459,The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91.0,80
460,Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80
461,Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98.0,80
462,The West Wing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,79.0,80
463,Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79.0,80
464,White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80
465,Blue Bloods,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
466,House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80
467,Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96.0,80
468,The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73.0,80
469,Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97.0,80
470,New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91.0,80
471,Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,84.0,80
472,Person of Interest,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,93.0,80
473,Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98.0,80
474,Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80
475,Forensic Files,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,88.0,80
476,Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
477,The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92.0,80
478,Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98.0,80
479,Rectify,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
480,Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80.0,80
481,Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83.0,80
482,The Fall,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,61.0,80
483,The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96.0,80
484,Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
485,American Crime,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
486,Madam Secretary,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,70.0,80
487,Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81.0,80
488,Scream,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
489,Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81.0,80
490,The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94.0,80
491,Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88.0,80
492,Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.0,80
493,American Crime Story: The People v. O.J. Simpson,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,79.0,80
494,Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82.0,80
495,No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
496,Girlboss,TV-MA,,110,2017,94.0,80
497,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99.0,80
498,The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57.0,80
499,Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,80
500,The Nightmare Before Christmas,PG,some scary images,60,1993,84.0,80
501,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80
502,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80
503,Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,,82
504,Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",60,2008,57.0,80
505,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95.0,80
506,The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,,82
507,We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,,82
508,Thomas & Friends: Thomas & the Runaway Kite,TV-Y,Suitable for all ages.,10,2010,,82
509,Dino Squad,TV-Y7,Suitable for children ages 7 and older,41,2008,,82
510,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80
511,LeapFrog: The Amazing Alphabet Amusement Park,TV-Y,Suitable for all ages.,10,2010,,82
512,Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80
513,Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89.0,80
514,The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77.0,80
515,Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66.0,80
516,Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2005,,82
517,Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73.0,80
518,Young Justice,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,71.0,80
519,The Super Mario Bros. Super Show!,TV-Y7,Suitable for children ages 7 and older,41,1989,,82
520,Power Rangers Zeo,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1996,,82
521,Oscar's Oasis,TV-G,Suitable for all ages.,35,2011,,82
522,Transformers Prime,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82
523,The Adventures of Chuck & Friends,TV-Y,Suitable for all ages.,10,2011,,82
524,Transformers: Rescue Bots,TV-Y7,Suitable for children ages 7 and older,41,2016,,82
525,Thomas & Friends: King of the Railway,TV-G,Suitable for all ages.,35,2013,,82
526,LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82
527,Max Steel,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2014,,82
528,Transformers Prime Beast Hunters: Predacons Rising,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82
529,Agent F.O.X.,PG,Parental guidance suggested. May not be suitable for children.,60,2014,,82
530,VeggieTales in the House,TV-Y,Suitable for all ages.,10,2016,,82
531,Thunder and the House Of Magic,TV-G,Suitable for all ages.,35,2013,,82
532,All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71.0,80
533,Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82
534,Marvel Super Hero Adventures: Frost Fight!,PG,fantasy action,60,2015,,82
535,Slugterra: Slug Fu Showdown,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,,82
536,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
537,Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
538,Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,41,2014,,82
539,Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83.0,80
540,Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,41,2015,,82
541,Bunks,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,,82
542,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80
543,The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80
544,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81
545,The Furchester Hotel,TV-Y,Suitable for all ages.,10,2015,,82
546,Marvel's Hulk: Where Monsters Dwell,PG,"action violence throughout, some scary images, and language",60,2016,,82
547,Angry Birds,TV-G,Suitable for all ages.,35,2013,,82
548,Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61.0,80
549,Nexo Knights,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,,82
550,The Nightmare Before Christmas,PG,some scary images,60,1993,84.0,80
551,An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67.0,80
552,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80
553,The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80
554,Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",60,2008,57.0,80
555,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80
556,The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77.0,80
557,Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66.0,80
558,Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2005,,82
559,The Cat in the Hat Knows a Lot About That!,TV-Y,Suitable for all ages.,10,2014,,82
560,Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73.0,80
561,Bob the Builder,TV-Y,Suitable for all ages.,10,2015,,82
562,Beyblade: Metal Fusion,TV-Y7,Suitable for children ages 7 and older,41,2009,,82
563,Ninja Turtles: The Next Mutation,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1997,,82
564,Transformers Prime,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82
565,DreamWorks Kung Fu Panda Awesome Secrets,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,,82
566,LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,67.0,80
567,Transformers: Rescue Bots,TV-Y7,Suitable for children ages 7 and older,41,2016,,82
568,Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88.0,80
569,LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2011,,82
570,Super Buddies,G,General Audiences. Suitable for all ages.,35,2013,,82
571,Tad: The Lost Explorer,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82
572,PokÃ©mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74.0,80
573,Ratchet and Clank,PG,action and some rude humor,60,2016,74.0,80
574,Pac-Man and the Ghostly Adventures,TV-Y7,Suitable for children ages 7 and older,41,2014,,82
575,Iron Man & Captain America: Heroes United,PG,"action and violence throughout, and mild language",60,2014,,82
576,Power Rangers Super Megaforce,TV-Y7,Suitable for children ages 7 and older,41,2014,,82
577,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82
578,All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71.0,80
579,The Adventures of Puss in Boots,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,78.0,80
580,Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82
581,Marvel Super Hero Adventures: Frost Fight!,PG,fantasy action,60,2015,,82
582,Some Assembly Required,TV-G,Suitable for all ages.,35,2015,,82
583,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
584,Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
585,Kulipari: An Army of Frogs,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82
586,Transformers: Robots in Disguise,TV-Y7,Suitable for children ages 7 and older,41,2016,,82
587,Robocar Poli,TV-Y,Suitable for all ages.,10,2012,,82
588,LEGO Bionicle: The Journey to One,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82
589,Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,41,2014,,82
590,Voltron: Legendary Defender,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
591,Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83.0,80
592,Buddy Thunderstruck,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,,82
593,Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,41,2015,,82
594,PokÃ©mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,56.0,80
595,Power Rangers Dino Super Charge,TV-Y7,Suitable for children ages 7 and older,41,2016,,82
596,The Deep,TV-Y7,Suitable for children ages 7 and older,41,2015,,82
597,Skylanders Academy,TV-Y7,Suitable for children ages 7 and older,41,2016,,82
598,Marvel's Hulk: Where Monsters Dwell,PG,"action violence throughout, some scary images, and language",60,2016,,82
599,Growing Up Wild,G,,35,2016,80.0,80
600,The Little Rascals,PG,some rude dialogue,60,1994,86.0,80
601,Flubber,PG,slapstick action and mild language,60,1997,83.0,80
602,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80
603,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80
604,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80
605,Lilo & Stitch,PG,mild sci-fi action,60,2002,95.0,80
606,Scooby-Doo 2: Monsters Unleashed,PG,"some scary action, rude humor and language",60,2004,82.0,80
607,The Three Musketeers,G,General Audiences. Suitable for all ages.,35,2004,,82
608,Mickey's Twice Upon a Christmas,G,General Audiences. Suitable for all ages.,35,2004,,82
609,The Pacifier,PG,"action violence, language and rude humor",60,2005,91.0,80
610,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80
611,Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,,82
612,Bee Movie,PG,mild suggestive humor,60,2007,94.0,80
613,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91.0,80
614,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95.0,80
615,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80
616,Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89.0,80
617,Super Why!,TV-Y,Suitable for all ages.,10,2015,68.0,80
618,Jessie,TV-G,Suitable for all ages.,35,2015,88.0,80
619,Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,,82
620,Lab Rats,TV-Y7,Suitable for children ages 7 and older,41,2016,85.0,80
621,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81.0,80
622,Pocoyo,TV-Y,Suitable for all ages.,10,2007,67.0,80
623,Home,PG,mild action and some rude humor,60,2015,94.0,80
624,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82
625,Octonauts,TV-Y,Suitable for all ages.,10,2015,,82
626,Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88.0,80
627,Mother Goose Club,TV-Y,Suitable for all ages.,10,2016,,82
628,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80
629,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80
630,Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72.0,80
631,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
632,Goosebumps,PG,"scary and intense creature action and images, and for some rude humor",60,2015,90.0,80
633,Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92.0,80
634,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97.0,80
635,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80
636,Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,,82
637,Open Season: Scared Silly,PG,rude humor and some action,60,2015,72.0,80
638,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,,82
639,The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80
640,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96.0,80
641,Finding Dory,PG,mild thematic elements,60,2016,98.0,80
642,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81
643,Ask the StoryBots,TV-Y,Suitable for all ages.,10,2016,,82
644,The Furchester Hotel,TV-Y,Suitable for all ages.,10,2015,,82
645,Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77.0,80
646,Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,,82
647,Angry Birds,TV-G,Suitable for all ages.,35,2013,,82
648,Tayo the Little Bus,TV-Y,Suitable for all ages.,10,2014,,82
649,Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61.0,80
650,The Little Rascals,PG,some rude dialogue,60,1994,86.0,80
651,Antz,PG,moderate adult language and intense action,60,1998,80.0,80
652,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80
653,An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67.0,80
654,Chicken Run,G,General Audiences. Suitable for all ages.,35,2000,80.0,80
655,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80
656,Lilo & Stitch,PG,mild sci-fi action,60,2002,95.0,80
657,Spy Kids 3: Game Over,PG,action sequences and peril,60,2003,64.0,80
658,Annie,PG,adult content and mld violence,60,1982,68.0,80
659,Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85.0,80
660,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80
661,Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,60,2005,85.0,80
662,Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,,82
663,Bee Movie,PG,mild suggestive humor,60,2007,94.0,80
664,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91.0,80
665,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80
666,Super Why!,TV-Y,Suitable for all ages.,10,2015,68.0,80
667,DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,56.0,80
668,Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,,82
669,DreamWorks Spooky Stories: Volume 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82
670,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80
