,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size
151,Skins,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,,82
152,The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80
153,Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,59.0,80
154,Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,,82
155,Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,73.0,80
156,Come Fly With Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,,82
157,Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98.0,80
158,Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63.0,80
159,Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83.0,80
160,BoJack Horseman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
161,Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
162,Documentary Now!,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
163,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90.0,80
164,Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
165,The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80.0,80
166,Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82
167,Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,86.0,80
168,Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91.0,80
169,Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74.0,80
170,Dope,R,"language, drug content, sexuality/nudity, and some violence-all involving teens",100,2015,79.0,80
171,Lovesick,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
172,The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69.0,80
173,Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
174,The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94.0,80
175,November Rule,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82
